id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4950966997091799,NlnSPtKTR,7300587266,清荷田田719,#任嘉伦#独丑家在热搜里蹦跶啥，为啥不告狗仔，狗仔直接说名字了吗？没说名字告啥，是直接承认吗？不都是你家营销号在造谣吗？一直在拍戏，每天12小时，还要被造谣网暴，心疼L清荷田田719的微博视频,,,,任嘉伦,1,2,57,2023-09-28 15:26,微博视频号,,"http://fb.video.weibocdn.com/o8/0oJ386Vmlx07UXqcgfEI01041200f8Gy0E018.mp4?label=mp4_720p&template=1152x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086051&ssig=vDtW05YudV&KID=unistore,video",
4951099931626439,Nlrlf6P6T,2633568402,宣夜不哭,各种平台造谣，微博赶紧实名制吧@微博管理员,,,微博管理员,,0,0,57,2023-09-29 00:14,任嘉伦的嘉人,,,4950966997091799,广东
4950960264185176,NlnHYhyKQ,5336630304,钟淼凡,继续挂我照片，挂得越久越好，随之对我影响就越广，我就慢慢截图保存，微博挂了再去小红书，ID是变不了的，都是实名制，然后找个律所，一张律师函就完事！,,,,,0,9,12,2023-09-28 14:59,iPhone 13 Pro Max(远峰蓝色),,,,科特迪瓦
4950949275894990,NlnqfoJyu,5238240104,中捷司法,【#国庆天安门看升旗已开放预约#】国庆节，到北京天安门广场观升旗是一种“仪式感”。提醒大家，天安门广场实行实名制预约参观，未预约“升旗”时段的游客，将无法满足观旗行程。此外，9月29日起，#天安门看升旗将首次细分现场核验地点#，游客可根据自身位置和出行方式选择方便的进入路线，带好身份证等有效证件观看升旗仪式。央视一套的微博视频L齐齐哈尔网警的微博视频,,,,"国庆天安门看升旗已开放预约,天安门看升旗将首次细分现场核验地点",0,33,20,2023-09-28 14:15,微博视频号,,"http://f.video.weibocdn.com/o0/SJrqwvvwlx088X7sKKt201041201e2ME0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086058&ssig=i7IT%2FHWzYn&KID=unistore,video",,
4950920654226102,NlmG5hJoW,2126779137,历史与文化趣谈,出门坐火车，忘记带身份证了怎么办？长春站前公安告诉你方法。#坐火车忘带身份证该怎么办##微博纪录片联盟#L历史与文化趣谈的微博视频,,,,"坐火车忘带身份证该怎么办,微博纪录片联盟",212,14,105,2023-09-28 12:22,野人的Android,,"http://f.video.weibocdn.com/o0/w1Bm4wvplx088X9zLBBS01041200bG9E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086058&ssig=yGWDjUmNrn&KID=unistore,video",
4950943655004802,NlnhbkZYC,1444268880,蒋清伟2019义工,现在手机就是身份证明啊，谁的手机号、微信、微博、QQ、支付宝、抖音…等等，不是实名制？？？//@澎湃春秋:这个可以了解一下。,,,澎湃春秋,,0,0,105,2023-09-28 13:53,HUAWEI P40 5G,,,4950920654226102,甘肃
4950676582173673,Nlgkq97tf,1935622204,在长沙,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院公众号、微博或拨打电话0731—84514630等官方渠道提出意见。#湖南博物院特殊人群免预约#,,,,"湖南博物院中秋国庆延时开放,湖南博物院特殊人群免预约",0,1,3,2023-09-27 20:12,熬夜小能手,['https://wx2.sinaimg.cn/large/735f403cgy1hibegpep3xj20u019on5s.jpg'],,,湖南
4950653623864997,NlfJogdsF,6470752385,你好and明天01,#周杰伦上海#实名制的票别被骗了微博出票的全是骗子,,,,周杰伦上海,0,0,0,2023-09-27 18:41,OPPO Reno8 5G,,,,河南
4950632781582030,NlfbM6DyC,2288064900,华声在线,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方微信公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院微信公众号、新浪微博或拨打电话0731—84514630等官方渠道提出意见。#湖南博物院特殊人群免预约#,,,,"湖南博物院中秋国庆延时开放,湖南博物院特殊人群免预约",0,0,0,2023-09-27 17:18,微博网页版,['https://wx2.sinaimg.cn/large/88611984gy1hib9flv03mj20j60t6jy7.jpg'],,,
4950630243239360,Nlf7GdAHK,3395129520,长沙政法频道,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方微信公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院微信公众号、新浪微博或拨打电话0731—84514630等官方渠道提出意见。,,,,湖南博物院中秋国庆延时开放,0,0,0,2023-09-27 17:08,微博网页版,"['https://wx3.sinaimg.cn/large/ca5d90b0gy1hib95278dkj20e20lqtb8.jpg', 'https://wx4.sinaimg.cn/large/ca5d90b0gy1hib93ghxtaj20j60eeajv.jpg']",,,
4950629165303703,Nlf5WmfJB,2712034872,长沙市总工会,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方微信公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院微信公众号、新浪微博或拨打电话0731—84514630等官方渠道提出意见。#湖南博物院特殊人群免预约#@湖南日报,,,湖南日报,"湖南博物院中秋国庆延时开放,湖南博物院特殊人群免预约",2,0,1,2023-09-27 17:03,微博网页版,['https://wx4.sinaimg.cn/large/a1a65e38gy1hib90hyiiqj20j60t6tfj.jpg'],,,
4950627915924995,Nlf3VoRmr,3499010272,湖南微政务,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方微信公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院微信公众号、新浪微博或拨打电话0731—84514630等官方渠道提出意见。#湖南博物院特殊人群免预约#,,,,"湖南博物院中秋国庆延时开放,湖南博物院特殊人群免预约",0,0,0,2023-09-27 16:58,微博网页版,['https://wx3.sinaimg.cn/large/d08ea8e0gy1hib8vgxd53j20u019oqfe.jpg'],,,
4950626926333086,Nlf2kqzwy,2618638282,湖南日报,#湖南博物院中秋国庆延时开放#【湖南博物院：中秋国庆假期延时开放，9月29日起特殊人群免预约】为更大限度地满足今年中秋国庆期间公众的参观需求，湖南博物院今天发布公告，在中秋、国庆双节期间(9月29日至10月6日)连续8天实施延长开放，每天开放时间延长至20:00(19:00停止入馆)。此外，为特殊人群增设绿色通道，凭证件免预约参观基本陈列。根据湖南博物院的公告，新增9月29日至10月6日16:00-19:00的预约时段，每天增加5000人(仅限散客)。观众可登录湖南博物院官网、官方微信公众号、官方支付宝小程序进行个人网络实名制分时段预约。观众预约成功后，进馆时凭预约记录、有效证件方可入馆参观。同时，该院将于9月29日起，增设特殊人群绿色通道。根据国家相关规定，65周岁(含65周岁)以上老人、残障人士、现役军人(应急救援人员)、退役军人、军队离退休干部和“三属”(烈士遗属、因公牺牲军人遗属、病故军人遗属)，可凭相关证件核验后免预约参观该院基本陈列。有疑问的观众可于工作时间(上午9点至下午5点)拨打票务热线0731-84415833、84475933进行咨询。或通过该院微信公众号、新浪微博或拨打电话0731—84514630等官方渠道提出意见。#湖南博物院特殊人群免预约#,,,,"湖南博物院中秋国庆延时开放,湖南博物院特殊人群免预约",0,0,1,2023-09-27 16:55,微博网页版,['https://wx3.sinaimg.cn/large/9c153fcagy1hib8qnfm4nj20u019odsb.jpg'],,,
